Timestamp,Bandwidth Value,Downtime (raw),Coverage (raw),Sensor ID,Start Time,End Time
45653.72917,7817.7667,0.0,10000,1,12/27/2024 19:00:00,19:30:00
45653.70833,7858.1333,0.0,10000,1,12/27/2024 18:30:00,19:00:00
45653.6875,7836.7667,0.0,10000,1,12/27/2024 18:00:00,18:30:00
45653.66667,7936.0,0.0,10000,1,12/27/2024 17:30:00,18:00:00
45653.64583,7910.5,0.0,10000,1,12/27/2024 17:00:00,17:30:00
45653.625,7892.5667,0.0,10000,1,12/27/2024 16:30:00,17:00:00
45653.60417,7865.7,0.0,10000,1,12/27/2024 16:00:00,16:30:00
45653.58333,7896.2667,0.0,10000,1,12/27/2024 15:30:00,16:00:00
45653.5625,7858.7667,0.0,10000,1,12/27/2024 15:00:00,15:30:00
45653.54167,7861.7667,0.0,10000,1,12/27/2024 14:30:00,15:00:00
45653.52083,7908.1333,0.0,10000,1,12/27/2024 14:00:00,14:30:00
45653.5,7914.1333,0.0,10000,1,12/27/2024 13:30:00,14:00:00
45653.47917,7924.0,0.0,10000,1,12/27/2024 13:00:00,13:30:00
45653.45833,7922.0667,0.0,10000,1,12/27/2024 12:30:00,13:00:00
45653.4375,7933.7333,0.0,10000,1,12/27/2024 12:00:00,12:30:00
45653.41667,8029.9667,0.0,10000,1,12/27/2024 11:30:00,12:00:00
45653.39583,7995.5333,0.0,10000,1,12/27/2024 11:00:00,11:30:00
45653.375,8018.3,0.0,10000,1,12/27/2024 10:30:00,11:00:00
45653.35417,7920.3333,0.0,10000,1,12/27/2024 10:00:00,10:30:00
45653.33333,7991.7667,0.0,10000,1,12/27/2024 09:30:00,10:00:00
45653.3125,7942.8667,0.0,10000,1,12/27/2024 09:00:00,09:30:00
45653.29167,7910.8333,0.0,10000,1,12/27/2024 08:30:00,09:00:00
45653.27083,7784.1,0.0,10000,1,12/27/2024 08:00:00,08:30:00
45653.25,7730.9667,0.0,10000,1,12/27/2024 07:30:00,08:00:00
45653.22917,7682.6333,0.0,10000,1,12/27/2024 07:00:00,07:30:00
45653.20833,7593.7333,0.0,10000,1,12/27/2024 06:30:00,07:00:00
45653.1875,7434.6667,0.0,10000,1,12/27/2024 06:00:00,06:30:00
45653.16667,7341.9333,0.0,10000,1,12/27/2024 05:30:00,06:00:00
45653.14583,7328.0667,0.0,10000,1,12/27/2024 05:00:00,05:30:00
45653.125,7305.3,0.0,10000,1,12/27/2024 04:30:00,05:00:00
45653.10417,7283.8333,0.0,10000,1,12/27/2024 04:00:00,04:30:00
45653.08333,7376.3667,0.0,10000,1,12/27/2024 03:30:00,04:00:00
45653.0625,7405.5333,0.0,10000,1,12/27/2024 03:00:00,03:30:00
45653.04167,7501.5333,0.0,10000,1,12/27/2024 02:30:00,03:00:00
45653.02083,7513.9333,0.0,10000,1,12/27/2024 02:00:00,02:30:00
45653.0,7577.6333,0.0,10000,1,12/27/2024 01:30:00,02:00:00
45652.97917,7615.7667,0.0,10000,1,12/27/2024 01:00:00,01:30:00
45652.95833,7659.2333,0.0,10000,1,12/27/2024 00:30:00,01:00:00
45652.9375,7620.4,0.0,10000,1,12/27/2024 00:00:00,00:30:00
